,date,close
3980,2002-01-08,10000
3981,2002-01-07,10100
3982,2002-01-04,10200
3983,2002-01-03,10450
3984,2002-01-02,10550
3985,2001-12-28,10450
3986,2001-12-27,10100
3987,2001-12-26,9800
3988,2001-12-24,9500
3989,2001-12-21,10000
3990,2001-12-20,10450
3991,2001-12-19,10200
3992,2001-12-18,11400
3993,2001-12-17,11850
3994,2001-12-14,12050
3995,2001-12-13,12500
3996,2001-12-12,11900
3997,2001-12-11,11900
3998,2001-12-10,12000
3999,2001-12-07,11800
4000,2001-12-06,11750
4001,2001-12-05,12000
4002,2001-12-04,12250
4003,2001-12-03,12300
4004,2001-11-30,12700
4005,2001-11-29,12050
4006,2001-11-28,12300
4007,2001-11-27,12750
4008,2001-11-26,12900
4009,2001-11-23,13150
4010,2001-11-22,13150
4011,2001-11-21,13300
4012,2001-11-20,13600
4013,2001-11-19,13600
4014,2001-11-16,13650
4015,2001-11-15,13950
4016,2001-11-14,13950
4017,2001-11-13,14050
4018,2001-11-12,14100
4019,2001-11-09,14200
4020,2001-11-08,14500
4021,2001-11-07,14050
4022,2001-11-06,14300
4023,2001-11-05,14100
4024,2001-11-02,13900
4025,2001-11-01,14350
4026,2001-10-31,14300
4027,2001-10-30,15500
4028,2001-10-29,16450
4029,2001-10-26,14700
4030,2001-10-25,14100
4031,2001-10-24,14200
4032,2001-10-23,14300
4033,2001-10-22,14300
4034,2001-10-19,14150
4035,2001-10-18,13800
4036,2001-10-17,14400
4037,2001-10-16,14100
4038,2001-10-15,13900
4039,2001-10-12,14000
4040,2001-10-11,14000
4041,2001-10-10,13650
4042,2001-10-09,13700
4043,2001-10-08,13700
4044,2001-10-05,14250
4045,2001-10-04,14750
4046,2001-09-28,13900
4047,2001-09-27,12500
4048,2001-09-26,12500
4049,2001-09-25,12650
4050,2001-09-24,12800
4051,2001-09-21,12800
4052,2001-09-20,12350
4053,2001-09-19,12600
4054,2001-09-18,12500
4055,2001-09-17,11900
4056,2001-09-14,13500
4057,2001-09-13,14400
4058,2001-09-12,13950
4059,2001-09-11,15850
4060,2001-09-10,15650
4061,2001-09-07,15950
4062,2001-09-06,15650
4063,2001-09-05,15400
4064,2001-09-04,15500
4065,2001-09-03,15000
4066,2001-08-31,15000
4067,2001-08-30,15450
4068,2001-08-29,16250
4069,2001-08-28,17200
4070,2001-08-27,17600
4071,2001-08-24,17550
4072,2001-08-23,18150
